display_type_id,display_type_name,description,editable,sortable,filterable,visible,sequence,active,created_at,created_by,modified_at,modified_by
INPUT,Input,Plain text input field,true,true,true,true,1,true,2025-05-28T00:00:00Z,SYSTEM,2025-05-28T00:00:00Z,SYSTEM
DROPDOWN,Dropdown,Select from list of values,true,true,true,true,2,true,2025-05-28T00:00:00Z,SYSTEM,2025-05-28T00:00:00Z,SYSTEM
SEARCH_HELP,Search Help,SAP F4 search help,true,false,true,true,3,true,2025-05-28T00:00:00Z,SYSTEM,2025-05-28T00:00:00Z,SYSTEM
DATEPICKER,Date Picker,Calendar date picker,true,true,true,true,4,true,2025-05-28T00:00:00Z,SYSTEM,2025-05-28T00:00:00Z,SYSTEM
CHECKBOX,Checkbox,Boolean checkbox,true,true,true,true,5,true,2025-05-28T00:00:00Z,SYSTEM,2025-05-28T00:00:00Z,SYSTEM
